Word, frequency 
glimmering, 3 
tell-tale, 3 
less:, 3 
conjuration, 3 
honest?, 3 
liars, 3 
heart,', 3 
harshly, 3 
Hippolyta,, 3 
persuasion., 3 
somewhere, 3 
consists, 3 
roots, 3 
greediness, 3 
brawn,, 3 
certainty,, 3 
distil, 3 
steps., 3 
singly, 3 
Flatter, 3 
ratified, 3 
Content,, 3 
copies, 3 
milk;, 3 
gabble, 3 
fig, 3 
Desiring, 3 
CHILDREN., 3 
convoy, 3 
knowing,, 3 
&, 3 
volume., 3 
exeunt, 3 
profession,, 3 
Destroy'd, 3 
Phoebus,, 3 
lackey,, 3 
distilled, 3 
villages,, 3 
needle,, 3 
scholar., 3 
freshest, 3 
monarchy., 3 
Angelo-, 3 
bribes, 3 
head's, 3 
revolve, 3 
wont., 3 
brib'd, 3 
o'errule, 3 
eyes', 3 
TEARSHEET, 3 
bar,, 3 
throes, 3 
reside, 3 
breast-, 3 
mothers;, 3 
rosemary, 3 
apiece, 3 
retirement,, 3 
carp, 3 
cock;, 3 
women-, 3 
indirectly,, 3 
commenting, 3 
ADRIANO, 3 
uncover'd, 3 
wot,, 3 
instrument;, 3 
reprieve, 3 
greater,, 3 
drop., 3 
privily, 3 
tall;, 3 
wet,, 3 
injury;, 3 
tyranny;, 3 
Creatures, 3 
diadem., 3 
temperance., 3 
votary, 3 
crack,, 3 
Pembroke,, 3 
storehouse, 3 
lighten, 3 
means!, 3 
mightiness, 3 
firm,, 3 
Consider,, 3 
name-, 3 
foolishly, 3 
punish'd., 3 
toward,, 3 
Turk,, 3 
Paris', 3 
wrath;, 3 
dignified, 3 
downright., 3 
[Exit., 3 
blanks, 3 
Weeps, 3 
foh!, 3 
crowd, 3 
cue,, 3 
sullen,, 3 
bettered, 3 
Dangerous, 3 
vow., 3 
caution,, 3 
pia, 3 
catastrophe, 3 
marketplace,, 3 
accomplish'd, 3 
mates,, 3 
scythe, 3 
smear'd, 3 
Chiron, 3 
sportful, 3 
Ned, 3 
Hostess., 3 
molten, 3 
yielded;, 3 
Crete,, 3 
Cavaleiro, 3 
shadows,, 3 
effected, 3 
drowning,, 3 
menace, 3 
religiously, 3 
trumpet], 3 
affrighted, 3 
CAMBIO,, 3 
hunt., 3 
advances, 3 
April's, 3 
deserving., 3 
food;, 3 
Red, 3 
preparation,, 3 
mocks,, 3 
fix, 3 
meadows, 3 
conqueror., 3 
sends,, 3 
Youth,, 3 
Alps, 3 
kisses., 3 
ELIZABETH, 3 
rescue!, 3 
christen, 3 
Dispatch, 3 
beware;, 3 
yourselves;, 3 
Boys,, 3 
lunacy., 3 
ABBOT, 3 
sparing, 3 
Beseeching, 3 
parentage,, 3 
orator,, 3 
those,, 3 
prologue,, 3 
OLIVER,, 3 
spin, 3 
derision, 3 
Ours, 3 
ARMY, 3 
law!, 3 
clouded, 3 
mean;, 3 
nobleman!, 3 
horn;, 3 
sweetness, 3 
Desdemona?, 3 
wink., 3 
Fight,, 3 
MENAS, 3 
Dighton, 3 
unstained, 3 
truths., 3 
inheritor, 3 
victories, 3 
stor'd, 3 
hip, 3 
Pyrrhus', 3 
welkin,, 3 
cried;, 3 
justice!, 3 
gambol, 3 
sacks, 3 
CAPTAIN,, 3 
promiseth, 3 
Shall's, 3 
trial;, 3 
sunk, 3 
liv'st,, 3 
collected, 3 
applied, 3 
advance,, 3 
cavil, 3 
shadow's, 3 
most;, 3 
Minola,, 3 
fain,, 3 
shocks, 3 
lament,, 3 
bruis'd, 3 
honey-sweet, 3 
Disgrace, 3 
Rutland's, 3 
[March, 3 
Tower;, 3 
SILVIUS], 3 
maintenance, 3 
dare;, 3 
ran'st, 3 
downward, 3 
splitting, 3 
levell'd, 3 
embossed, 3 
benefit,, 3 
God-a-mercy,, 3 
pilgrimage;, 3 
Com'st, 3 
afraid?, 3 
wager?, 3 
firstlings, 3 
escap'd, 3 
gouty, 3 
alike:, 3 
chase., 3 
CONSTANCE,, 3 
Prologue, 3 
clust'ring, 3 
reap,, 3 
buttock,, 3 
PATIENCE., 3 
Mistrust, 3 
hangman's, 3 
basket], 3 
Cimber., 3 
creature's, 3 
Cornwall;, 3 
cords,, 3 
All-Souls', 3 
hush,, 3 
plagues,, 3 
trap, 3 
leek,, 3 
consciences, 3 
Oh,, 3 
dale,, 3 
sanctity, 3 
eyne., 3 
pirate,, 3 
peers., 3 
surfeited, 3 
Syracusian,, 3 
Ladies, 3 
remember?, 3 
worn., 3 
instances, 3 
Alarums, 3 
yearly, 3 
disease., 3 
Dead., 3 
Greece., 3 
Nay;, 3 
diverted, 3 
reputation!, 3 
Romeo;, 3 
factions, 3 
Bassianus', 3 
friendly,, 3 
dignifies, 3 
goblins, 3 
Cleomenes, 3 
gowns, 3 
prevented,, 3 
Helenus, 3 
calumnious, 3 
scarr'd, 3 
blessings,, 3 
jester,, 3 
knock,, 3 
nominate, 3 
FIFTH, 3 
ev'n,, 3 
Orleans., 3 
irksome, 3 
bridge, 3 
Cambio., 3 
unkindness., 3 
can:, 3 
keen,, 3 
distinction, 3 
Itself, 3 
Valentine!, 3 
reflection, 3 
feast?, 3 
prosperity, 3 
hereof, 3 
cuckold., 3 
snow-white, 3 
coast., 3 
concealing, 3 
owners, 3 
wolf., 3 
fashions,, 3 
Lucentio's, 3 
(if, 3 
Blackheath, 3 
descend,, 3 
People, 3 
steads, 3 
curst., 3 
agony., 3 
Gentleman.], 3 
neighbour's, 3 
discretions, 3 
exposition, 3 
oratory, 3 
panting, 3 
ancient;, 3 
raiment,, 3 
[Rising], 3 
Attended, 3 
Land., 3 
carry., 3 
wise?, 3 
Fairly, 3 
reap'd, 3 
reason!, 3 
consequence,, 3 
begotten, 3 
hatch, 3 
shape!, 3 
enclosed, 3 
bait,, 3 
street?, 3 
liv'st, 3 
war-, 3 
higher,, 3 
oaks,, 3 
criminal, 3 
Endure, 3 
extenuate, 3 
pulpit., 3 
quillets, 3 
marked, 3 
Infect, 3 
1599, 3 
army;, 3 
Athwart, 3 
waking., 3 
muse,, 3 
assign, 3 
council., 3 
hunting., 3 
shady, 3 
doigts?, 3 
Soldier,, 3 
prosecute, 3 
Somerset;, 3 
craving, 3 
stifled, 3 
o'erlook'd, 3 
dullest, 3 
arrive, 3 
sunny, 3 
pare, 3 
discharge., 3 
merriest, 3 
Destinies, 3 
how;, 3 
there-, 3 
philosopher,, 3 
bride!, 3 
Bestride, 3 
Paulina, 3 
Gilbert, 3 
re-enter, 3 
mayst., 3 
gamester,, 3 
grossly., 3 
resembled, 3 
CERES, 3 
bills., 3 
brooch, 3 
Knock., 3 
disprove, 3 
Glad, 3 
Speed, 3 
laughing,, 3 
pleasant., 3 
bush., 3 
nearly, 3 
humanity., 3 
rout,, 3 
muzzle, 3 
promises,, 3 
front., 3 
flows, 3 
watch'd,, 3 
heard;, 3 
CHARMIAN, 3 
scars,, 3 
folk,, 3 
prone, 3 
SERVANT,, 3 
Quince., 3 
prophecies, 3 
agree,, 3 
entrance;, 3 
Scotland!, 3 
visited., 3 
Millions, 3 
Confounds, 3 
trim,, 3 
throat;, 3 
probable,, 3 
hath.', 3 
frontiers, 3 
apparent,, 3 
pill'd, 3 
godhead, 3 
mistake., 3 
purging, 3 
citizen, 3 
viperous, 3 
COURTEZAN, 3 
vice;, 3 
trouble?, 3 
things?, 3 
Illyria,, 3 
silence;, 3 
Brief,, 3 
MELUN,, 3 
lik'st, 3 
list;, 3 
banks,, 3 
Armado., 3 
bough,, 3 
Good!, 3 
Meanwhile, 3 
smooth-fac'd, 3 
fray?, 3 
enacted, 3 
eight., 3 
agreed,, 3 
surely., 3 
shine;, 3 
scope;, 3 
poverty;, 3 
wishing, 3 
Whom,, 3 
adoption, 3 
allow'd;, 3 
expectation,, 3 
put'st, 3 
plausive, 3 
stead., 3 
Resembling, 3 
contend,, 3 
requir'd;, 3 
Double,, 3 
See!, 3 
haught, 3 
tir'd, 3 
designs,, 3 
Stays, 3 
assembly,, 3 
impossible;, 3 
posset, 3 
lapwing, 3 
crown'd,, 3 
excellence,, 3 
enmity;, 3 
loathly, 3 
school,, 3 
dog.', 3 
islanders, 3 
degrees., 3 
common;, 3 
trots, 3 
horrible!, 3 
garter,, 3 
wakes, 3 
Denmark,, 3 
absurd, 3 
waste,, 3 
figures,, 3 
precious., 3 
shaken, 3 
majestic, 3 
sovereign!, 3 
resty, 3 
pinch,, 3 
burs,, 3 
halters, 3 
have-, 3 
rough;, 3 
Sandal, 3 
vanished., 3 
find:, 3 
squadrons, 3 
Egypt's, 3 
just!, 3 
fires;, 3 
stomachs., 3 
Charmian;, 3 
uncle!, 3 
quietness, 3 
Antonio-, 3 
yet.', 3 
shepherds, 3 
tailors, 3 
Gremio!, 3 
confederates, 3 
Germans, 3 
hallowed, 3 
Simple, 3 
hide., 3 
Troy;, 3 
LUCILIUS, 3 
shield,, 3 
deceas'd;, 3 
liege-, 3 
Doricles,, 3 
deputy., 3 
brooks,, 3 
ROBIN], 3 
flaw'd, 3 
whore;, 3 
Castle,, 3 
statues, 3 
He., 3 
CAMBRIDGE,, 3 
fustian, 3 
picture?, 3 
Albany., 3 
Thersites?, 3 
within!, 3 
affecting, 3 
Gobbo,, 3 
animals, 3 
Proclaims, 3 
do't!, 3 
plies, 3 
ground], 3 
toasted, 3 
tribe;, 3 
ent'red,, 3 
ay!, 3 
side!, 3 
mitigate, 3 
knees;, 3 
garment'!, 3 
EXECUTIONERS, 3 
familiarly, 3 
gold], 3 
scatter'd, 3 
peevish,, 3 
edified, 3 
lullaby., 3 
Fine, 3 
iron., 3 
preservation, 3 
Strive, 3 
ducats!, 3 
protests, 3 
concave, 3 
jerkin, 3 
glazed, 3 
parle, 3 
Lucilius, 3 
detested,, 3 
stand!, 3 
receive., 3 
proportion;, 3 
arise!, 3 
Oswald,, 3 
SELEUCUS., 3 
rested, 3 
eagle., 3 
Vere, 3 
five-and-twenty,, 3 
fixed,, 3 
refrain, 3 
Proculeius., 3 
altar,, 3 
insolence., 3 
finest, 3 
Presence, 3 
art?, 3 
Peace;, 3 
Loud, 3 
slaughter-house,, 3 
Plainly, 3 
Belong, 3 
Thee,, 3 
George?, 3 
o'erthrow, 3 
packet,, 3 
running., 3 
Blanch, 3 
Hal;, 3 
pursuivant, 3 
arithmetic, 3 
balmy, 3 
s., 3 
brach, 3 
staff;, 3 
abhor,, 3 
TRINCULO,, 3 
limb,, 3 
observing, 3 
livelong, 3 
quality;, 3 
ours?, 3 
saws, 3 
tent?, 3 
remain;, 3 
agents, 3 
cross'd,, 3 
beasts., 3 
interchangeably, 3 
fuel, 3 
vengeful, 3 
damnation!, 3 
obedience;, 3 
beauty!, 3 
given., 3 
knight's, 3 
low;, 3 
mark!-, 3 
first:, 3 
firmament, 3 
thankless, 3 
scrap'd, 3 
commonweal, 3 
Dion,, 3 
root,, 3 
adjudg'd, 3 
Glamis,, 3 
damage, 3 
Pistol?, 3 
earnest?, 3 
meekness, 3 
infernal, 3 
crests, 3 
stakes, 3 
Begin,, 3 
queens., 3 
Impatient, 3 
restrain'd,, 3 
1609, 3 
restraint., 3 
carelessly,, 3 
Volumnius,, 3 
wherefore., 3 
gaol., 3 
orator, 3 
distribute, 3 
times;, 3 
quits, 3 
Turks,, 3 
lying;, 3 
gait?, 3 
befall'n, 3 
hive,, 3 
Briefly, 3 
obtaining, 3 
paths, 3 
banished,, 3 
flats,, 3 
reaches, 3 
winding, 3 
Indeed!, 3 
bridegroom's, 3 
Round, 3 
Kentish, 3 
divinity, 3 
Hecuba,, 3 
confirms, 3 
Secure, 3 
Withhold, 3 
NO, 3 
bold;, 3 
cousins,, 3 
assurance,, 3 
Trinculo, 3 
wit-, 3 
afternoon;, 3 
Rose,, 3 
Posthumus?, 3 
BUT, 3 
villany?, 3 
dumb,, 3 
PURSUIVANT., 3 
churl, 3 
base-born, 3 
feature., 3 
joyful,, 3 
envied, 3 
assistance,, 3 
glorious., 3 
witnesses, 3 
reserv'd,, 3 
truly-, 3 
hereabout., 3 
garments?, 3 
Alcibiades,, 3 
Nero, 3 
dragon,, 3 
cuckold's, 3 
Prizes, 3 
monkey., 3 
sweetly,, 3 
Sir!, 3 
clears, 3 
gash, 3 
radiance, 3 
Hardly, 3 
casque, 3 
fishes, 3 
courtesy!, 3 
Short, 3 
hulk, 3 
move;, 3 
overcharged, 3 
Seigneur, 3 
Sovereign, 3 
Clitus., 3 
CLOTEN,, 3 
cords., 3 
though,, 3 
courteous,, 3 
wooes, 3 
gripes, 3 
Blows, 3 
once:, 3 
Supply, 3 
abide., 3 
congeal'd, 3 
gun,, 3 
swor'st, 3 
follow'd., 3 
chivalry., 3 
sisters., 3 
EIGHTH, 3 
youth-, 3 
bespoke, 3 
[Snatching, 3 
trot,, 3 
bishop, 3 
threaten'd, 3 
Subdue, 3 
complain., 3 
JULIA'S, 3 
Carthage., 3 
SEMPRONIUS, 3 
Polonius?, 3 
valorous, 3 
'How, 3 
warm,, 3 
trust;, 3 
importance, 3 
grain,, 3 
Archbishop., 3 
la., 3 
Vulcan's, 3 
grievously, 3 
overlook, 3 
combating, 3 
bearer,, 3 
suspect,, 3 
applause,, 3 
cramps,, 3 
defil'd, 3 
inclin'd., 3 
Bagot,, 3 
crosses,, 3 
flourish!, 3 
adds, 3 
savageness, 3 
Supposing, 3 
vengeance!, 3 
uneasy, 3 
at's, 3 
FORD'S, 3 
RICHMOND, 3 
order., 3 
bane, 3 
pride!, 3 
rights;, 3 
PHILOSTRATE,, 3 
advancement., 3 
presumption., 3 
quake., 3 
King's., 3 
afterwards,, 3 
madam:, 3 
DAUGHTER., 3 
quench., 3 
Mount,, 3 
Catesby;, 3 
jealous., 3 
disgorge, 3 
adore,, 3 
faints, 3 
tribunes., 3 
traitorously, 3 
hoard, 3 
Gentles,, 3 
rhymes, 3 
prodigious,, 3 
creeps, 3 
self-will'd, 3 
remove., 3 
ANGELO], 3 
Milan;, 3 
forgot-, 3 
Listen,, 3 
pervert, 3 
mast, 3 
juggling, 3 
recall'd, 3 
changed, 3 
souls!, 3 
cannon,, 3 
was?, 3 
tilt, 3 
infected,, 3 
dissolution, 3 
edge., 3 
calf., 3 
consul?, 3 
contented,, 3 
Confin'd, 3 
grace?, 3 
CLERK, 3 
Disdaining, 3 
spur,, 3 
tickling, 3 
building,, 3 
discovery,, 3 
marry!, 3 
wasted,, 3 
sail'd, 3 
Sola,, 3 
tasted,, 3 
named, 3 
confident., 3 
ALEXAS,, 3 
witness'd, 3 
geld, 3 
wormwood, 3 
horses;, 3 
commence, 3 
gallery, 3 
swears., 3 
expressure, 3 
rooms, 3 
JOURDAIN,, 3 
dilated, 3 
crust, 3 
dumb?, 3 
impossibility,, 3 
hours', 3 
locks,, 3 
Cassius?, 3 
swallows, 3 
characters,, 3 
mountain's, 3 
controll'd, 3 
borne., 3 
sleeve;, 3 
admiration,, 3 
Brakenbury,, 3 
breathes,, 3 
CLAUDIO, 3 
hate!, 3 
everlastingly., 3 
forbid;, 3 
Titan's, 3 
dejected, 3 
patron, 3 
confiscate, 3 
cloak., 3 
thorn, 3 
Spain;, 3 
burning;, 3 
enrag'd,, 3 
fetches, 3 
fast!, 3 
encourage, 3 
sequel,, 3 
mouth!, 3 
hadst,, 3 
standers-by, 3 
Gods, 3 
Descend,, 3 
Iachimo,, 3 
Cupid!, 3 
rams, 3 
Avaunt!, 3 
adopt, 3 
Calais, 3 
couch,, 3 
hobby-horse, 3 
sounder, 3 
droops, 3 
I'faith,, 3 
learns, 3 
Saturn, 3 
villany, 3 
fail'd, 3 
Jaques,, 3 
declin'd,, 3 
wak'st,, 3 
Gramercies,, 3 
oldest, 3 
Eke, 3 
Prick'd, 3 
Petruchio., 3 
replied,, 3 
inundation, 3 
coast,, 3 
tun'd, 3 
carpenter?, 3 
Intend, 3 
cast,, 3 
her.], 3 
CRIER., 3 
Lion, 3 
device;, 3 
casket,, 3 
milky, 3 
'Not, 3 
commonly, 3 
fro, 3 
glassy, 3 
Silvia-, 3 
legitimate,, 3 
Dear,, 3 
occasions., 3 
road., 3 
factor, 3 
Gold, 3 
tables,, 3 
Fortinbras., 3 
calendar, 3 
attorney,, 3 
clothes;, 3 
suspected, 3 
rank'd, 3 
value., 3 
[Stabbing, 3 
doctrine,, 3 
hush, 3 
veil'd, 3 
POINS, 3 
meagre, 3 
set'st, 3 
flocks, 3 
expire,, 3 
COSTARD,, 3 
abilities, 3 
Amazons,, 3 
personally, 3 
toll, 3 
sleeping,, 3 
fall!, 3 
Tomorrow, 3 
evening,, 3 
Once,, 3 
ache., 3 
separated, 3 
foes!, 3 
summit, 3 
Tribune,, 3 
performance., 3 
orb,, 3 
Avoid, 3 
bitter,, 3 
pit,, 3 
Blanch?, 3 
deliver., 3 
Actium, 3 
two-and-twenty, 3 
blessing;, 3 
hither:, 3 
Stain, 3 
parle,, 3 
Car,, 3 
coward;, 3 
MONTAGUE, 3 
traders, 3 
considered., 3 
Lent, 3 
dungeon, 3 
you', 3 
jerkin., 3 
dole!, 3 
Yes, 3 
amity., 3 
perfect,, 3 
Step, 3 
astonish'd, 3 
chaff,, 3 
lute., 3 
came?, 3 
Leonatus,, 3 
shades, 3 
deceit,, 3 
Verges,, 3 
ox,, 3 
spok'st, 3 
borrowing, 3 
worm-eaten, 3 
prowess, 3 
Susan, 3 
landed,, 3 
Followed, 3 
closure, 3 
nations;, 3 
Bristow, 3 
injuries,, 3 
covenants, 3 
rubb'd, 3 
beacon, 3 
foretell, 3 
cleanly,, 3 
wine!, 3 
simplicity., 3 
post;, 3 
part?, 3 
rack,, 3 
allegiance., 3 
fork, 3 
swiftness, 3 
Belonging, 3 
loves!, 3 
mutinies, 3 
rememb'ring, 3 
House;, 3 
bears;, 3 
catch'd, 3 
BOYET,, 3 
Beaufort's, 3 
tow'rs, 3 
Meg,, 3 
Scurvy, 3 
lighted,, 3 
obedience-, 3 
Antipholus, 3 
lastly,, 3 
delights,, 3 
betray'd., 3 
hush!, 3 
melts, 3 
Parted, 3 
bosom!, 3 
gorge,, 3 
roars, 3 
treaty, 3 
passion!, 3 
trow?, 3 
handmaid, 3 
Meeting, 3 
yonder's, 3 
moans,, 3 
side?, 3 
surmise,, 3 
[Alarum., 3 
bargain., 3 
revolts, 3 
grandfather., 3 
Parson., 3 
will'd, 3 
ribbons, 3 
honey,, 3 
lack., 3 
Concerning, 3 
thick,, 3 
anger;, 3 
Watch, 3 
surges, 3 
affirm, 3 
wisest., 3 
debase, 3 
recoil, 3 
medicines, 3 
box,, 3 
distempered, 3 
Ajax!, 3 
demands., 3 
Youth, 3 
scatters, 3 
all.', 3 
gawds,, 3 
PEASEBLOSSOM,, 3 
fiends., 3 
wanteth, 3 
haggard,, 3 
Andronicus?, 3 
Winchester., 3 
both-, 3 
unwillingness, 3 
molehill, 3 
array, 3 
unreverend, 3 
Contempt, 3 
slough, 3 
glad,, 3 
Goth,, 3 
continent,, 3 
appeared, 3 
tott'ring, 3 
sisterhood,, 3 
dote., 3 
hats,, 3 
sprite, 3 
checks,, 3 
prate,, 3 
ability,, 3 
'I'll, 3 
retention, 3 
bone,, 3 
horror, 3 
reformation, 3 
early,, 3 
Marcius;, 3 
Oui,, 3 
unholy, 3 
boys;, 3 
names?, 3 
gold!, 3 
odds;, 3 
Knight,, 3 
m'en, 3 
Bore, 3 
expect., 3 
requests., 3 
writ?, 3 
aloof,, 3 
Stabs, 3 
Mowbray., 3 
simples, 3 
walk?, 3 
dug, 3 
Cursed, 3 
endure,, 3 
undertakes, 3 
seel, 3 
Helena;, 3 
CASSANDRA,, 3 
retires., 3 
leave-, 3 
permission,, 3 
familiarity, 3 
griev'd,, 3 
melt., 3 
looker-on, 3 
bondman,, 3 
die:, 3 
stones;, 3 
Kate!, 3 
weigh'd., 3 
didst,, 3 
Gods,, 3 
rheumatic, 3 
manage,, 3 
beguil'd., 3 
staggers, 3 
standing,, 3 
Reflect, 3 
doit, 3 
informed, 3 
penalty,, 3 
Tie, 3 
peasants, 3 
Severn, 3 
dislike., 3 
wag?, 3 
Wye, 3 
fight], 3 
deeds?, 3 
toads, 3 
replication, 3 
ink., 3 
foundation, 3 
Empress., 3 
pawn;, 3 
Lack, 3 
Northumberland?, 3 
submissive, 3 
womanish, 3 
Reynaldo., 3 
tyrants,, 3 
minions, 3 
ewe, 3 
remit, 3 
tune?, 3 
arras., 3 
deserv'st, 3 
ghosts,, 3 
tomorrow., 3 
beadle, 3 
park., 3 
Dieu, 3 
Spanish, 3 
twins, 3 
duty?, 3 
fantasies,, 3 
allegiance,, 3 
Justice!, 3 
spoils,, 3 
kept;, 3 
tapestry, 3 
begot;, 3 
stratagem., 3 
demean'd, 3 
Pompeius, 3 
Dread, 3 
choice?, 3 
outlive,, 3 
Barnardine., 3 
constant., 3 
divine., 3 
thrives, 3 
revell'd, 3 
consequence;, 3 
wilt;, 3 
god's, 3 
reechy, 3 
alteration,, 3 
excus'd, 3 
entertain'd., 3 
forcibly, 3 
crickets, 3 
coz?, 3 
grasp'd, 3 
town's, 3 
Swifter, 3 
Chiron,, 3 
assaults, 3 
fairly,, 3 
Parthian, 3 
amiss;, 3 
apace, 3 
wonderful!, 3 
count,, 3 
remove,, 3 
draw,, 3 
libertine,, 3 
[All, 3 
insurrection, 3 
discuss, 3 
tomorrow?, 3 
constable?, 3 
standeth, 3 
Antenor!, 3 
offer'd., 3 
ginger,, 3 
Jew?, 3 
amends;, 3 
treacherous,, 3 
Died, 3 
engines, 3 
LOVEL,, 3 
tumbling, 3 
forcing, 3 
Methoughts, 3 
'no, 3 
coach, 3 
actors,, 3 
Thou't, 3 
accompt., 3 
directed., 3 
plenty, 3 
Od's, 3 
BRUTUS,, 3 
sheets!, 3 
discontent,, 3 
excuse?, 3 
commanders, 3 
seriously, 3 
attorney, 3 
Valentine's, 3 
remorseful, 3 
governor., 3 
no-, 3 
Instance,, 3 
wheels, 3 
theatre, 3 
rage!, 3 
string,, 3 
older, 3 
gazing., 3 
distant, 3 
ebbs,, 3 
sulphurous, 3 
far!, 3 
Dauphin., 3 
plague!, 3 
unspeakable, 3 
yes;, 3 
shown., 3 
gear, 3 
worthiness,, 3 
cum, 3 
May;, 3 
clocks, 3 
Bohemia,, 3 
sovereignty,, 3 
wait., 3 
rumor, 3 
tongues?, 3 
deck,, 3 
redress., 3 
mask'd, 3 
armourer, 3 
Again,, 3 
nods, 3 
execute., 3 
idiot,, 3 
reel, 3 
corpse,, 3 
authorities, 3 
EUPHRONIUS,, 3 
hitherward., 3 
groans., 3 
sorrows., 3 
meek,, 3 
quirks, 3 
seeming!, 3 
Touches, 3 
defense,, 3 
forests, 3 
sceptre's, 3 
demure, 3 
dollars, 3 
Show!, 3 
outstretch'd, 3 
afear'd, 3 
Forsake, 3 
[within]., 3 
English?, 3 
shows;, 3 
smug, 3 
promised,, 3 
sent-, 3 
Ware, 3 
augment, 3 
conceived, 3 
Nell., 3 
debts., 3 
impressure, 3 
false?, 3 
lamb;, 3 
choosing, 3 
advis'd., 3 
niece?, 3 
dub, 3 
seduc'd, 3 
ingrate, 3 
disaster, 3 
today,, 3 
perjury., 3 
guilt., 3 
cheerful,, 3 
Mere, 3 
Andronicus;, 3 
Struck, 3 
knee?, 3 
eminence,, 3 
Brook, 3 
cates, 3 
Falconbridge,, 3 
blanket,, 3 
streams,, 3 
GOBBO,, 3 
conquer,, 3 
thankfulness., 3 
distinction., 3 
Faulconbridge,, 3 
fear'd,, 3 
death.', 3 
see't,, 3 
trull, 3 
bondmen, 3 
cake, 3 
languish, 3 
impress'd, 3 
funeral,, 3 
twisted, 3 
bolted, 3 
Spring, 3 
exile;, 3 
none!, 3 
did!, 3 
FASTOLFE, 3 
Antigonus, 3 
Desdemon!, 3 
issuing, 3 
FRIAR., 3 
Bootless, 3 
fed,, 3 
chat., 3 
starve,, 3 
churches,, 3 
awards, 3 
Gertrude., 3 
meant,, 3 
celerity, 3 
exalted, 3 
ingenious,, 3 
fence!, 3 
lighter, 3 
affable, 3 
coin., 3 
bush;, 3 
PRIEST, 3 
Benedick's, 3 
help?, 3 
Beauteous, 3 
Merciful, 3 
Hecate, 3 
shrouded, 3 
sprightly, 3 
paly, 3 
jacks, 3 
embrac'd., 3 
howe'er, 3 
redress?, 3 
prevail'd., 3 
casts, 3 
Albion's, 3 
blades,, 3 
cannot-, 3 
medlar., 3 
seizure, 3 
field!, 3 
north., 3 
bird., 3 
CURTIS, 3 
greatest,, 3 
undertakings, 3 
wreck;, 3 
beggarly,, 3 
flattered, 3 
DOLABELLA,, 3 
yourself!, 3 
spring!, 3 
unequal, 3 
dominions,, 3 
provided;, 3 
awe,, 3 
garden., 3 
GARDINER, 3 
VARRIUS,, 3 
Never., 3 
madmen., 3 
convenient., 3 
These,, 3 
lieutenant;, 3 
minstrels, 3 
pocket., 3 
understand:, 3 
fish., 3 
deep-mouth'd, 3 
Got's, 3 
laud, 3 
authors, 3 
arrogance, 3 
knots, 3 
withal-, 3 
gentlewoman;, 3 
draws], 3 
Fleance., 3 
verses,, 3 
barely, 3 
received,, 3 
Guess, 3 
MESSENGER,, 3 
Yields, 3 
withdraw;, 3 
tediousness, 3 
CAIUS], 3 
determination, 3 
slide, 3 
bounded, 3 
blood-drinking, 3 
mire., 3 
Vex, 3 
rue,, 3 
as-, 3 
Buried, 3 
cite, 3 
varied, 3 
sirrah, 3 
'Before, 3 
valued,, 3 
guts,, 3 
abode, 3 
temper., 3 
(God, 3 
SHALLOW'S, 3 
conduct., 3 
wringing, 3 
bedfellow., 3 
keepers, 3 
shot., 3 
Sends, 3 
PANDULPH,, 3 
enraged, 3 
gotten, 3 
star., 3 
pure., 3 
D'elbow., 3 
marshal's, 3 
love-song,, 3 
peasant,, 3 
stamped, 3 
soldier?, 3 
cap., 3 
descends., 3 
fraud, 3 
quality?, 3 
Matter, 3 
Thurio., 3 
attired, 3 
kingdom;, 3 
pilot, 3 
hat;, 3 
pow'rs;, 3 
rebukes,, 3 
measuring, 3 
Ned., 3 
heinous,, 3 
shares, 3 
Neapolitan,, 3 
buck!, 3 
crown'd., 3 
Proper, 3 
Virginity, 3 
ungovern'd, 3 
join'd., 3 
blameful, 3 
trenches, 3 
PETRUCHIO'S, 3 
namely,, 3 
folly!, 3 
woo'd,, 3 
earnestness, 3 
Masters, 3 
follow?, 3 
blaspheme, 3 
singing;, 3 
wanting,, 3 
Plain, 3 
SIMPLE], 3 
counsellor,, 3 
on:, 3 
kingdoms,, 3 
fights,, 3 
beguiled, 3 
Goodman, 3 
merriment, 3 
inviolable., 3 
endeavour., 3 
POMPEY,, 3 
footed, 3 
title's, 3 
comforter, 3 
bewept, 3 
Pages,, 3 
new-fangled, 3 
Field, 3 
Pindarus,, 3 
sending., 3 
granted;, 3 
razed, 3 
movables, 3 
Lennox., 3 
Unseen,, 3 
Shrewsbury, 3 
Demetrius?, 3 
Presumptuous, 3 
degree?, 3 
throne], 3 
Sextus, 3 
estates, 3 
ruffian,, 3 
shirt., 3 
jaded, 3 
tumult, 3 
besmear'd, 3 
confess-, 3 
properer, 3 
arm!, 3 
Helenus., 3 
finds,, 3 
monarch's, 3 
Lust, 3 
kennel, 3 
caterpillars, 3 
circled, 3 
cut;, 3 
merciful,, 3 
paid;, 3 
Casca;, 3 
penny;, 3 
regiment, 3 
lash, 3 
privilege,, 3 
ashamed?, 3 
standard., 3 
window;, 3 
obloquy, 3 
Tubal., 3 
deed-, 3 
supper-time, 3 
Menenius, 3 
Doubly, 3 
suitor., 3 
stripp'd, 3 
travellers, 3 
angel!, 3 
breath!, 3 
destruction,, 3 
counterfeit'st, 3 
SURREY, 3 
perfum'd, 3 
bug, 3 
sheriff,, 3 
penance., 3 
wiser., 3 
pitiful., 3 
Descends., 3 
Absolute, 3 
countrymen;, 3 
